TOKEEP, MIMIC SCORE, MIMIC TRAINING TIME
10,43.0,0.252933145
20,43.0,0.059221165
30,43.0,0.046059376
40,43.0,0.030535646
50,44.0,0.04882394
60,44.0,0.082193952
70,44.0,0.036662974
80,44.0,0.052813608
90,44.0,0.044283021
100,43.0,0.042050502
110,44.0,0.050885923
120,44.0,0.05832614
130,44.0,0.032815901
140,43.0,0.025813472
150,44.0,0.025335663
160,43.0,0.032521676
170,43.0,0.029246358
180,44.0,0.040243148
190,43.0,0.033754127
200,43.0,0.034430087
