RHC SCORE, RHC TRAINING TIME, SA SCORE, SA TRAINING TIME, GA SCORE, GA TRAINING TIME, MIMIC SCORE, MIMIC TRAINING TIME
44.0,5.86889E-4,44.0,3.54571E-4,42.0,0.056720392,44.0,0.008706122
44.0,2.62501E-4,44.0,3.26898E-4,41.0,0.054897145,44.0,0.009149362
44.0,2.77572E-4,44.0,2.92805E-4,41.0,0.056937131,42.0,0.009689981
44.0,2.7428E-4,45.0,3.17716E-4,41.0,0.057377991,43.0,0.009673643
44.0,2.9566E-4,44.0,3.43712E-4,41.0,0.05262411,43.0,0.009167317
44.0,4.42945E-4,44.0,5.35431E-4,42.0,0.065824744,42.0,0.008596083
44.0,2.55113E-4,44.0,3.54243E-4,42.0,0.052143685,43.0,0.008535683
44.0,2.86854E-4,44.0,2.60144E-4,41.0,0.050599967,43.0,0.007413655
43.0,2.44464E-4,44.0,2.25682E-4,43.0,0.049175002,43.0,0.00861956
44.0,2.09521E-4,43.0,2.98536E-4,41.0,0.044212291,43.0,0.007436066
43.0,1.58765E-4,44.0,2.31904E-4,41.0,0.047514931,43.0,0.007185753
44.0,2.8557E-4,44.0,3.14373E-4,42.0,0.048838716,43.0,0.008031416
44.0,2.48346E-4,45.0,2.68712E-4,41.0,0.048384389,43.0,0.007441996
44.0,2.22033E-4,43.0,3.19309E-4,43.0,0.049511645,44.0,0.007477165
44.0,2.29166E-4,44.0,2.09728E-4,40.0,0.046012904,43.0,0.008200897
45.0,1.57101E-4,45.0,3.32566E-4,41.0,0.043591394,42.0,0.007599123
44.0,2.24348E-4,44.0,3.13566E-4,41.0,0.054387061,42.0,0.007022932
43.0,2.07689E-4,45.0,2.64952E-4,41.0,0.04462442,43.0,0.007154101
44.0,2.29931E-4,44.0,2.80197E-4,42.0,0.05247905,44.0,0.008553478
45.0,3.01258E-4,44.0,3.24924E-4,44.0,0.056020523,42.0,0.007812734
45.0,2.02764E-4,44.0,3.41064E-4,42.0,0.045679355,44.0,0.007654992
44.0,1.61327E-4,44.0,2.60605E-4,43.0,0.048195514,42.0,0.006273851
44.0,2.48302E-4,44.0,3.37661E-4,41.0,0.045925197,42.0,0.007804979
45.0,3.04967E-4,44.0,3.03161E-4,42.0,0.045985422,44.0,0.007196994
43.0,1.82497E-4,44.0,2.67182E-4,41.0,0.051665074,42.0,0.006020581
44.0,2.28047E-4,45.0,2.13853E-4,41.0,0.044691855,43.0,0.007879482
43.0,2.35406E-4,44.0,3.32409E-4,42.0,0.044882072,42.0,0.007008399
45.0,2.53396E-4,44.0,2.20463E-4,41.0,0.044335194,42.0,0.007368774
44.0,2.83849E-4,45.0,3.0099E-4,41.0,0.050204687,43.0,0.008016902

FINAL RESULTS
RHC BEST SCORE, RHC AVG SCORE, RHC AVG TIME, RHC WIN PERCENTAGE, SA BEST SCORE, SA AVG SCORE, SA AVG TIME,  SA WIN PERCENTAGE, GA BEST SCORE, GA AVG SCORE, GA AVG TIME, GA WIN PERCENTAGE, MIMIC BEST SCORE, MIMIC AVG SCORE, MIMIC AVG TIME, MIMIC WIN PERCENTAGE
45.0,43.93,4.6417514999999994E-4,15.0,45.0,44.13,5.022787400000002E-4,82.0,44.0,41.57,0.06430191732,0.0,45.0,42.89,0.012247281110000006,3.0
WINNER: ,SA
