TEMPERATURE, SA SCORE, SA TRAINING TIME
55,3192.4850233184834,0.611315032
56,3274.446261809032,0.420675088
57,3155.142368890176,0.347310399
58,3138.0924069244325,0.370908888
59,3403.2192376656353,0.399923726
60,3061.8407565658367,0.30816511
61,3262.1441714163684,0.28303828
62,3210.9140327534005,0.27510593
63,3338.751178406904,0.329051271
64,3108.7327706354436,0.361866741
65,3228.539212067524,0.284736415
66,3266.165032184911,0.297930418
67,3299.2021907802905,0.291035654
68,3227.2354542375647,0.294186594
69,3113.3258905936054,0.28967141
70,3354.8521285447823,0.568107435
71,3300.5759228947354,0.654150233
72,3366.0671770856397,0.359520951
73,3372.333288088623,0.35356549
74,3363.752245992704,0.288376269
75,3372.687696326734,0.309639293
76,3162.1521886427813,0.356930273
77,3175.2929550821164,0.278921148
78,3379.7401289343943,0.297965063
79,3299.64509267964,0.295958092
80,3274.2477864671446,0.40783176
81,3358.75990544011,0.331298355
82,3291.825012372926,0.283000235
83,3290.8162150626576,0.280602421
84,3290.7581114970435,0.279913228
85,3372.279464809896,0.283171077
86,3265.9785971199626,0.274746549
87,3119.9700012883577,0.297396101
88,3349.6484765608557,0.470729981
89,3292.9791173430385,0.305927331
90,3349.619217588748,0.27139758
91,3494.9338812410588,0.555615141
92,3283.281148552217,0.376904017
93,3425.0396051092957,0.310251723
94,3175.409137482843,0.335323078
95,3199.852834775233,0.34773307
96,3275.916275666289,0.349535115
97,3364.0816631393063,0.275178294
98,3375.1675685528135,0.252824099
99,3410.098810035116,0.2378683
100,3387.688195375115,0.256091016
101,3189.4730967921505,0.25906205
102,3377.0182514690914,0.25771786
103,3171.3137864506543,0.256597154
104,3368.5724935185754,0.259367534
105,3198.3668524746163,0.25430422
106,3360.173551678953,0.25360116
107,3298.45797677168,0.246657905
108,3249.590277341249,0.254146669
109,3099.549542506771,0.245044817
110,3119.94459118767,0.25380696
111,3062.484804193309,0.235107794
112,3149.0361057606224,0.268972394
113,3212.3231260335315,0.249255027
114,3086.662989057969,0.243554409
115,3279.4026843015745,0.251487966
116,3372.691158310788,0.240315637
117,3064.319917755347,0.282354252
118,3228.248328380848,0.256663166
119,3354.682984013816,0.323261678
120,3239.1968150200164,0.255670523
121,2948.8271121989765,0.249645805
122,3280.2475703480713,0.243089141
123,3261.1902893160277,0.269832913
124,3271.114664906144,0.280731007
125,3270.8817590455683,0.270541782
126,3249.231185591053,0.26197073
127,3494.547807096543,0.357331479
128,3039.5438265112602,0.26053687
129,3212.247880993963,0.263062121
130,3428.610931115779,0.233551839
131,3232.6694638831977,0.234420875
132,3264.5709686390364,0.241501752
133,3396.256941150959,0.24741224
134,3114.0767760745966,0.285295935
135,3226.1559040377306,0.263306424
136,3346.618625542496,0.232263974
137,3282.2754585249104,0.237525754
138,3354.5673383968015,0.29508422
139,3335.302022141167,0.244191456
140,3143.0448084365044,0.245235786
141,3196.069696799229,0.251627262
142,3226.421429206721,0.25022473
143,3240.5743325508865,0.240812585
144,3028.4332104732102,0.232360201
145,3228.5092449429226,0.252213415
146,3319.864266177984,0.252272263
147,2997.6343973505172,0.269492703
148,3177.09953619733,0.263039393
149,3338.432991102407,0.265694854
150,3353.165077464607,0.261191867
151,3166.048237914327,0.234068393
152,3354.1881121895085,0.264333644
153,3218.707503814293,0.401346166
154,3449.269912028338,0.249735456

