SAMPLE, MIMIC SCORE, MIMIC TRAINING TIME
110,0.05064107540664593,29.252316769
120,0.07237507677646139,28.487003316
130,0.08622453068406674,24.513209183
140,0.0833857891650957,24.0168759
150,0.09537472660303152,22.733679457
160,0.0858120012303482,22.770377903
170,0.09013177216997426,23.069257671
180,0.08495476031808027,23.4980878
190,0.09315069445136623,27.090636417
200,0.10518166935871302,25.290214898
210,0.11390323572405275,23.383171534
220,0.10511085074347282,25.555023433
230,0.0978024476214875,26.537165557
240,0.1003817905333097,23.459679571
250,0.0948481932655535,25.468047479
260,0.09838295899749668,24.731046573
270,0.09953952053931518,24.252071411
280,0.10616182987514616,25.78479911
290,0.10759226773946094,25.270506375
300,0.1051890658740153,25.771714401
