TEMPERATURE, SA SCORE, SA TRAINING TIME
5,3839.8304473827698,0.416586037
6,3789.2679158583646,0.309272943
7,3744.5528981845523,0.342946538
8,3845.6168080822667,0.339490934
9,3829.24968156165,0.289959707
10,3648.266094323692,0.3348764
11,3551.0016270251745,0.326458359
12,3853.7589776422155,0.283024471
13,3909.1168078550154,0.297745256
14,3702.050882884279,0.324268055
15,3613.5633585907003,0.333683578
16,3791.130156781406,0.337365372
17,3578.1995552047165,0.281547312
18,3573.2186753425867,0.283164172
19,3526.8321963948606,0.28218101
20,3604.991988347658,0.279009546
21,3428.7106172960234,0.308182324
22,3818.927645136702,0.334092988
23,3731.861412105885,0.27621195
24,3861.3110554337836,0.317619262
25,3796.620651930185,0.345874667
26,3844.4780083368405,0.278599697
27,3498.959750298124,0.308701338
28,3435.2398316981803,0.346358855
29,3686.78876387944,0.315832058
30,3521.3938316385834,0.283463995
31,3642.4357732782523,0.281081947
32,3573.289817201985,0.281887406
33,3723.654068846644,0.2792436
34,3897.4895585393615,0.282647563
35,4030.77307520232,0.283280173
36,3989.066896171181,0.285551742
37,3946.30114653077,0.342364753
38,3734.963920635087,0.287257084
39,3685.2531085408837,0.332648957
40,3704.1713731353007,0.288721317
41,3716.764577033813,0.322916912
42,3793.370337874491,0.313243066
43,3785.750265768196,0.343058106
44,4016.1103913540464,0.299498877
45,3594.5837302565988,0.322789895
46,3798.599904335086,0.26234013
47,3806.202386117074,0.247611529
48,3810.032053221287,0.227230139
49,3864.388112858056,0.238834291
50,4001.370841089144,0.246288783
51,3687.7620301516017,0.248076318
52,3513.000723165941,0.255498749
53,3763.8117374180993,0.254619172
54,3582.083696237404,0.26499206
55,3750.280012293388,0.243715749
56,3792.0078815667734,0.243425068
57,3781.834274645373,0.259382353
58,3952.708794230327,0.230732918
59,3513.4217749864415,0.252434096
60,3671.2280954405073,0.263451498
61,3518.2670170668075,0.253557102
62,3698.2488671290266,0.241631959
63,3753.8200507125302,0.235090725
64,3693.8485642183246,0.230978951
65,3720.5739288635923,0.246119246
66,4133.370515023203,0.257169913
67,3869.9460147349378,0.250551683
68,3893.3341645904384,0.23930052
69,3766.0045193765004,0.249742729
70,3732.0055254499457,0.241635605
71,3700.3905194712097,0.262153845
72,3885.162387036212,0.248345855
73,3565.585189876438,0.242100394
74,3764.460394286109,0.231021867
75,3855.0162973174683,0.234854916
76,3728.31499691805,0.255277946
77,3703.4477608336097,0.239608327
78,3759.981107382486,0.257258214
79,3782.81016175278,0.25482399
80,3881.958900105769,0.256277061
81,3712.5236903237883,0.230032644
82,3700.4848639506727,0.237146668
83,3670.3250255623852,0.239894493
84,3771.906482824968,0.238444573
85,3846.60867937169,0.236357208
86,3833.7891794924503,0.248653165
87,3890.8581543916002,0.253569799
88,3935.374245400456,0.231463521
89,3757.69692809006,0.233213015
90,3736.569071154389,0.235673422
91,3262.3904279053136,0.232300892
92,3792.62215140699,0.240089057
93,3669.884671087393,0.237753706
94,3859.570982772514,0.259742674
95,3589.0132403014063,0.25272488
96,3925.6251763161486,0.244558133
97,3872.7088397074085,0.261974353
98,3800.592370424499,0.267417434
99,3747.5731214481643,0.248487062
100,3824.232428002874,0.246090786
101,3901.616870357145,0.241241754
102,3998.765226537524,0.24018384
103,3688.7242175078045,0.239403765
104,3889.2200873729803,0.226796611
105,3639.991067052962,0.2272598
106,4044.655518122685,0.264936079
107,3763.5953111318167,0.256696874
108,3632.696718528708,0.256150322
109,3863.924133648531,0.25910452
110,3810.1454052250824,0.23996144
111,3947.438158649705,0.232510046
112,3803.0324960888092,0.239297551
113,3576.1854789399326,0.233958265
114,3352.5278916455113,0.249031023
115,3683.592006960748,0.243752792
116,3889.803486458449,0.235999838
117,3709.1081796070225,0.251927823
118,3692.3821899319587,0.230751575
119,3807.5136013551137,0.242515138
120,3812.386358085071,0.227235658
121,3810.8568587174987,0.247570245
122,3608.633022512652,0.231284332
123,3983.0592165788676,0.236640649
124,3813.1491392750836,0.232390141
125,3875.666634818954,0.2383962
126,3679.9237453064948,0.240290689
127,3923.9701693536995,0.230032597
128,3748.4223841231187,0.227815125
129,3755.377491149258,0.221411313
130,3626.0383455148394,0.236491312
131,3867.194858727542,0.234704599
132,3720.489630544796,0.233121248
133,4019.108441833387,0.238282319
134,3811.8156007371176,0.249323051
135,3677.872520908727,0.238811642
136,3892.7595994295193,0.247126411
137,3629.5562211624524,0.238120048
138,3878.8677079221543,0.253037846
139,3932.3224872712126,0.253466547
140,3812.683099624558,0.236368839
141,3664.2071782978373,0.238720535
142,3661.046775595281,0.25071321
143,3797.88188593256,0.232705847
144,3814.6794609263206,0.231910378
145,3960.429194428762,0.242009787
146,3811.336766990542,0.235404859
147,3799.8717427740944,0.238546711
148,3975.215420909241,0.259590175
149,3922.879247035717,0.247507712
150,3984.561599418366,0.245179445
151,3861.54878970343,0.241320857
152,3781.239564553786,0.244998289
153,3922.119968205601,0.247683799
154,4007.0453090453702,0.251254083
155,3988.4434298699343,0.231382405
156,3825.8064634759644,0.226550765
157,3896.6748649603505,0.241869034
158,3675.935239177089,0.239612073
159,3547.5129589609046,0.264642225
160,3635.048263906798,0.252764766
161,3689.772049353078,0.260988017
162,4108.912152485364,0.234880464
163,3732.5241984238796,0.236295356
164,3989.5582377262367,0.237141657
165,3856.8665510807596,0.242054226
166,3883.9129242629383,0.230108773
167,3940.534427417227,0.231268772
168,3775.402355996649,0.240764605
169,3678.939810579682,0.237713828
170,3889.038753303025,0.25693449
171,3726.164870204794,0.261178703
172,3960.6203445858528,0.253545161
173,3703.354352377517,0.255870953
174,3844.2951344820813,0.240473751
175,3431.0698934614725,0.247698881
176,3983.794549314284,0.238364655
177,3968.927478335752,0.232376405
178,4005.245803910798,0.243842347
179,3819.630703771921,0.233159018
180,3713.4458610660517,0.253591997
181,3955.0116075742276,0.241959091
182,3984.4928368961496,0.253713887
183,3847.0876604008176,0.247736559
184,3793.6808510772184,0.267785217
185,3686.207010276565,0.22501844
186,3596.3941711903653,0.241788093
187,3904.2965940067643,0.230441445
188,3620.387671005995,0.245283888
189,3764.4346358596335,0.237158312
190,3793.5567862558046,0.232817397
191,3817.942170631226,0.243989988
192,3887.658253559186,0.258743647
193,3860.632618606631,0.246312039
194,3961.4703750243752,0.263698441
195,3803.620958276548,0.22776545
196,3791.0926715569553,0.238898053
197,3807.379270722357,0.231740352
198,4043.1293902848797,0.240169229
199,3647.8858757904536,0.236160956
200,3716.873015098493,0.237774649
201,3913.445614211602,0.229279654
202,4107.966994704231,0.247435151
203,3877.081897875059,0.244492259
204,3804.1731235955635,0.244635957

