SAMPLE,MIMIC SCORE, MIMIC TRAINING TIME
120,3143.266433,4.038589669
130,3238.708902,3.337557951
140,3332.933104,3.365060286
150,3224.891818,3.358968555
160,3344.811788,2.789825004
170,3390.213662,2.720000878
180,3298.535724,2.702759832
190,3396.398426,2.75586226
200,3402.931841,2.678195044
210,3397.5131,2.778382028
220,3356.303309,2.83410774
230,3348.549359,2.948508644
240,3428.135383,3.129331521
250,3441.964867,3.075342234
260,3408.26737,3.06470083
270,3417.261365,3.095888862
280,3429.399709,3.120242363
290,3431.740844,3.144375791
300,3421.747055,3.130093961
310,3418.420972,3.282393817
