TOMUTATE, GA SCORE, GA TRAINING TIME
11,0.14457956787933185,0.987616107
12,0.1467905369659051,0.629999257
13,0.14302839663756267,0.66400375
14,0.15002313584317772,0.554339483
15,0.10994698098308331,0.571426217
16,0.14933910086336472,0.583430127
17,0.14203233399467693,0.570928635
18,0.15223847803896154,0.564481539
19,0.14233913493770242,0.575553568
20,0.1451658981914978,0.673461621
21,0.14429028221245377,0.58537196
22,0.14119064928534633,0.576876496
23,0.14702130719743509,0.59299356
24,0.1476567900790955,0.560546849
25,0.14933330757516183,0.583699968
26,0.15002313584317772,0.553740516
27,0.1498748806612073,0.585331971
28,0.14809275324327797,0.583904342
29,0.14878177021145603,0.587409362
30,0.1437605462982641,0.589211818
31,0.14168519742905863,0.5904088
32,0.1423701132257059,0.560783471
33,0.14185735504534497,0.470059756
34,0.1491722760411303,0.428964929
35,0.1494903823653885,0.459217959
36,0.1441729960681778,0.437369413
37,0.14648104213705312,0.449503519
38,0.14570327881985143,0.45348131
39,0.14612250506857108,0.477896535
40,0.15002313584317772,0.407528551
41,0.14868757703793437,0.43588384
42,0.1421150677391046,0.451860935
43,0.1442992593003118,0.460437422
44,0.14352989192679455,0.432050728
45,0.1421842615658494,0.424458598
46,0.15073780360010933,0.410259327
47,0.14160592368014227,0.428363489
48,0.14497280005534624,0.42192334
49,0.14117138665304824,0.445240007
50,0.15073780360010927,0.49155084
51,0.14551626196124084,0.493007607
52,0.13906765448103503,0.768834694
53,0.14794114707477565,0.494970088
54,0.14241779861096715,0.494028665
55,0.14272134806178355,0.473262539
56,0.14426186145577902,0.478461274
57,0.14000039920745375,0.452881765
58,0.1442625146133626,0.547219743
59,0.1497021140145441,0.460360667
60,0.14180678610036548,0.473663608
61,0.14941570577305036,0.471566828
62,0.14436466871065012,0.469264821
63,0.14099570247636925,0.461472983
64,0.14183128599131253,0.518936049
65,0.1392391234920047,0.506764898
66,0.07182196463033062,0.488171677
67,0.10362161853700975,0.470755571
68,0.14809275324327795,0.440812735
69,0.14444053296629047,0.486932708
70,0.14443425981072694,0.460620334
71,0.139179664686114,0.450970642
72,0.1349681282927274,0.482828841
73,0.13937400857780866,0.506002875
74,0.14165993590536063,0.466694709
75,0.13994195773539833,0.479637975
76,0.14294375450536326,0.476949042
77,0.14221009049491715,0.467726021
78,0.13868358015532986,0.431432039
79,0.1432305221017802,0.460606431
80,0.138595402189992,0.47042857
81,0.15159062370582208,0.464263734
82,0.1393754699733832,0.491091006
83,0.14882619784547826,0.48641571
84,0.14372937971019287,0.464690942
85,0.1415778654349913,0.623312433
86,0.14079741474469934,0.523953182
87,0.14253029415703633,0.533723408
88,0.13948382911616256,0.558277613
89,0.14120713405262159,0.532797543
90,0.14108120147983136,0.506828883
91,0.14128851143739396,0.49916517
92,0.14033326792641015,0.505675784
93,0.12609036257180023,0.488120231
94,0.14457956787933185,0.48868355
95,0.14041443111289717,0.541956305
96,0.1384128990402308,0.539387843
97,0.1403287654521656,0.525962
98,0.07914680279749892,0.516189403
99,0.14155161658348747,0.553363494
100,0.1458276395718316,0.530255164
101,0.13970997333200844,0.506275891
102,0.14065537929488914,0.532378433
103,0.15237941712874878,0.543253281
104,0.13412326576183017,0.515259469
105,0.10207922137792362,0.486485664
106,0.14288547081351222,0.552801158
107,0.1398345806036822,0.504386639
108,0.1398551201554865,0.541351798
109,0.05971112324532453,0.520106352
110,0.14208738512953373,0.534413209
