TOMATE, GA SCORE, GA TRAINING TIME
26,0.03672221189891525,0.333231717
28,0.03504071411068101,0.231307709
30,0.03857028281702577,0.246213137
32,0.040145956079289086,0.218735801
34,0.037393583821478275,0.188172495
36,0.03564070791748255,0.206560414
38,0.038838108162135614,0.257275473
40,0.037404660042265295,0.263542039
42,0.03793271988552882,0.246415745
44,0.04239216965972885,0.224645639
46,0.039617134947615096,0.254695992
48,0.03859517419027695,0.256841853
50,0.14809517180538234,0.280032424
52,0.039184559227291985,0.266113423
54,0.1524908733495162,0.292865781
56,0.036467513792487624,0.292925936
58,0.03706785098001926,0.297829153
60,0.15196924820733448,0.321803698
62,0.06226143440364842,0.337671467
64,0.15856520099816246,0.33480221
66,0.12612622813822408,0.394892767
68,0.1592145038563545,0.388916906
70,0.1586814339466759,0.38140704
72,0.12679407599830006,0.434935604
74,0.161268243746012,0.391899732
76,0.15496448796097026,0.416696764
78,0.15243226873774673,0.38228742
80,0.15717702257823213,0.503985057
82,0.16091076292068132,0.50433278
84,0.15868143394667591,0.449944254
86,0.15133713515676264,0.518254532
88,0.15868143394667591,0.457533032
90,0.14536962362366193,0.447907915
92,0.1592145038563545,0.490198606
94,0.15868143394667586,0.764857644
96,0.15512589607850194,0.565338595
98,0.15868143394667586,0.488783622
100,0.15868143394667591,0.499919126
102,0.15868143394667591,0.508981676
104,0.15868143394667591,0.537757816
106,0.15868143394667591,0.471749479
108,0.15868143394667591,0.482234301
110,0.15868143394667591,0.683743386
112,0.15328878231198165,0.551336292
114,0.15657886358826287,0.502112174
116,0.15868143394667591,0.527381718
118,0.15499424374164905,0.527049418
120,0.15249567678518924,0.489421421
122,0.161268243746012,0.479759766
124,0.1559738997460931,0.532243543
126,0.1515617016678424,0.499542259
128,0.15084172326576342,0.509113311
130,0.15868143394667591,0.531140455
132,0.09632065266823231,0.533314226
134,0.1550409069344372,0.591755703
136,0.1505838793966188,0.540268415
138,0.1560131383849409,0.514738046
140,0.15868143394667591,0.539124865
142,0.1475007873052271,0.570118592
144,0.15444677523445174,0.587689574
146,0.15307673698568783,0.582213822
148,0.15238863476559225,0.606314394
150,0.15079571920320728,0.59576635
152,0.1411200682239297,0.669447582
154,0.161268243746012,0.684687204
156,0.15868143394667591,0.674564534
158,0.15460258958494924,0.685012516
160,0.13844031940168816,0.652983426
162,0.15868143394667591,1.185895153
164,0.1586814339466759,1.270840032
166,0.14461793743589402,0.905605122
168,0.15541223488308809,0.834129306
170,0.15868143394667591,0.998772451
172,0.14698320970803588,0.909218378
174,0.15868143394667586,1.081393094
176,0.1586814339466759,0.984731291
178,0.14118901447961343,0.921728001
180,0.15243434405783599,1.082952102
182,0.15060552270321936,1.092988899
184,0.13747095616872965,0.894809561
186,0.15868143394667591,0.979044016
188,0.1504785286170096,0.960758108
190,0.14418505953526475,1.009411106
192,0.1586814339466759,1.049651704
194,0.15868143394667591,0.855764836
196,0.1523686807891994,0.733505601
198,0.15352396676591623,0.708530525
200,0.14957317399584993,0.789694495
202,0.15060552270321936,0.792665455
204,0.14481276440724813,0.781462919
206,0.15060552270321934,0.788934351
208,0.14817048492694404,0.755761482
210,0.148582586966328,0.765653206
212,0.14899617226213874,0.818452432
214,0.15576413593892044,0.791394984
216,0.14798099627752087,0.786767241
218,0.1462166515412441,0.822595227
220,0.1507912008849978,0.879146422
222,0.15017036440194842,0.87278922
224,0.1515440795003723,0.889893643
